graduation_year,rows,unique_schools,strict_rows_with_closure,broad_rows_with_closure,strict_total_closure_days,broad_total_closure_days,strict_max_closure_days,broad_max_closure_days,strict_share_rows_with_closure,broad_share_rows_with_closure,students,mean_eligibility_rate,student_weighted_eligibility_rate,mean_recipient_rate,student_weighted_recipient_rate,mean_acceptance_rate,student_weighted_acceptance_rate,mean_exposure_index_pointmax,student_weighted_exposure_index_pointmax,mean_exposure_index_stormmax,student_weighted_exposure_index_stormmax,mean_within_50km_hurricane,student_weighted_within_50km_hurricane,mean_within_100km_hurricane,student_weighted_within_100km_hurricane,mean_within_50km_major_hurricane,student_weighted_within_50km_major_hurricane
1999,141,141,0,0,0,0,0,0,0.0,0.0,9879,0.8781362211211089,0.8831865573438608,0.7511635768372126,0.7486587711306812,0.8563050501889633,0.8484832143591124,0.3572232253987619,0.38287640864231914,0.540187562039721,0.5801153976608179,0.0,0.0,0.028368794326241134,0.04008502884907379,0.0,0.0
2000,178,178,0,0,0,0,0,0,0.0,0.0,13376,0.8293136067015581,0.8425538277511961,0.6157147267199765,0.6427183014354066,0.7367954981783793,0.7600948751492781,0.18065394904654652,0.17896385867521913,0.1812166078276085,0.17954173084528324,0.0,0.0,0.0,0.0,0.0,0.0
2001,178,178,0,0,0,0,0,0,0.0,0.0,13376,0.8293136067015581,0.8425538277511961,0.6157147267199765,0.6427183014354066,0.7367954981783793,0.7600948751492781,0.13647144948760392,0.13897206913220636,0.15910283483097917,0.1617937255068836,0.0,0.0,0.0,0.0,0.0,0.0
2002,169,169,0,0,0,0,0,0,0.0,0.0,13272,0.8427489612623675,0.8534508740204942,0.637535380926202,0.6674954792043399,0.7523349550621277,0.7796950684901306,0.3014379707624679,0.33047446046067497,0.46329739950244764,0.49970162950115465,0.0,0.0,0.0,0.0,0.0,0.0
2003,214,214,0,0,0,0,0,0,0.0,0.0,20347,0.5411995509929756,0.5734014842482922,0.4206865077266915,0.45186022509460855,0.750659249514624,0.7685113077664678,0.632421564275298,0.6636475167008093,1.3676486388245819,1.4011950392203965,0.0,0.0,0.1261682242990654,0.12355629822578267,0.0,0.0
2004,215,215,0,0,0,0,0,0,0.0,0.0,20341,0.5838741543102606,0.6096553758418957,0.44368845543189156,0.46969175556757287,0.7334641751113656,0.7489396468562655,0.3493438775532612,0.40057294015798617,0.3802237579479435,0.43546627958661094,0.0,0.0,0.0,0.0,0.0,0.0
2005,215,215,0,0,0,0,0,0,0.0,0.0,21009,0.5736271121794286,0.5982674092055785,0.4264334632998594,0.45109238897615306,0.714822983678393,0.7292525264553978,0.3298642233614319,0.35623111394829965,0.7748240724411006,0.7580696966727878,0.0,0.0,0.0,0.0,0.0,0.0
2006,213,213,10,18,178,186,25,25,0.046948356807511735,0.08450704225352113,19571,0.6095745924866904,0.6370139492105666,0.4598661526343448,0.48955086607735937,0.7298545622329806,0.7517286309890044,0.6834012488068779,0.7652595691211345,1.2832679335526187,1.381136132669954,0.056338028169014086,0.0785856624597619,0.2676056338028169,0.34985437637320527,0.03755868544600939,0.06453425987430382
2007,216,216,0,0,0,0,0,0,0.0,0.0,20102,0.6058536280840804,0.6380459655755646,0.43961866229955554,0.4760222863396677,0.69995060337524,0.7253747710156874,0.08469878244311707,0.088046512271128,0.08517251506782796,0.08843239127841393,0.0,0.0,0.0,0.0,0.0,0.0
2008,221,221,0,0,0,0,0,0,0.0,0.0,20904,0.6119099318719579,0.6371986222732492,0.4447376813255488,0.4780424799081516,0.701539659391823,0.7278239774977768,0.3447049061545111,0.3157622842563329,0.6237892917698307,0.5412794091754699,0.04072398190045249,0.05128205128205128,0.11764705882352941,0.08161117489475699,0.0,0.0
