statistic,value
panel_rows,6323.0
unique_nces_schools,311.0
first_graduation_year,1999.0
last_graduation_year,2025.0
total_students_processed,655153.0
mean_students_per_school_year,103.61426538035742
median_students_per_school_year,75.0
strict_rows_with_closure,167.0
broad_rows_with_closure,185.0
strict_total_school_closure_days,1033.0
broad_total_school_closure_days,1130.0
strict_mean_closure_days_all_rows,0.16337181717539143
broad_mean_closure_days_all_rows,0.17871263640676893
strict_mean_closure_days_conditional,6.18562874251497
broad_mean_closure_days_conditional,6.108108108108108
strict_share_rows_with_closure,0.02641151352206231
broad_share_rows_with_closure,0.029258263482524118
mean_eligibility_rate,0.6291230195191617
mean_recipient_rate,0.4188011403793499
mean_acceptance_rate,0.6407615578578002
mean_exposure_index_pointmax,0.35446177732789064
mean_exposure_index_stormmax,0.5815328671149663
mean_within_50km_hurricane,0.03273762454531077
mean_within_100km_hurricane,0.10153408192313775
mean_within_50km_major_hurricane,0.008540249881385418
