variable,count,mean,std,min,p25,median,p75,max
eligibility_rate,6323,0.6291230195191617,0.18355536792877597,0.0,0.5099407114624506,0.6439024390243903,0.7575757575757576,1.0
recipient_rate,6323,0.4188011403793499,0.2060731801249041,0.0,0.26103179753406874,0.4361233480176211,0.5714285714285714,0.9615384615384616
acceptance_rate,6318,0.6407615578578001,0.21300198503186374,0.0,0.5384615384615384,0.6896551724137931,0.7978317362351794,1.0
exposure_index_pointmax,6323,0.35446177732789064,0.3444927478462928,0.0548628503733412,0.12108950857920335,0.2214972273647234,0.482046060268702,2.772690614151059
exposure_index_stormmax,6323,0.5815328671149663,0.6115385621229488,0.0584428281807865,0.1426301642404087,0.3287062089836611,0.8290491891583713,4.884451074169165
within_50km_hurricane,6323,0.03273762454531077,0.17796314596631307,0.0,0.0,0.0,0.0,1.0
within_100km_hurricane,6323,0.10153408192313775,0.3020585073894209,0.0,0.0,0.0,0.0,1.0
within_50km_major_hurricane,6323,0.008540249881385418,0.0920252864944323,0.0,0.0,0.0,0.0,1.0
closure_days_hurricane_related_strict,6323,0.16337181717539143,1.5418980788879133,0.0,0.0,0.0,0.0,41.0
closure_any_hurricane_related_strict,6323,0.02641151352206231,0.16036836611579916,0.0,0.0,0.0,0.0,1.0
closure_max_consecutive_days_strict,6323,0.16273920607306658,1.540528169684988,0.0,0.0,0.0,0.0,41.0
closure_source_record_count_strict,6323,0.039538193895302866,0.31217908584608706,0.0,0.0,0.0,0.0,9.0
closure_source_url_count_strict,6323,0.03637513838367863,0.25578832688408665,0.0,0.0,0.0,0.0,4.0
closure_days_hurricane_related_broad,6323,0.17871263640676893,1.5870827996212369,0.0,0.0,0.0,0.0,41.0
closure_any_hurricane_related_broad,6323,0.029258263482524118,0.16854290284838117,0.0,0.0,0.0,0.0,1.0
closure_max_consecutive_days_broad,6323,0.17460066424165743,1.5773447903294442,0.0,0.0,0.0,0.0,41.0
closure_source_record_count_broad,6323,0.12035426221730192,0.916767977855829,0.0,0.0,0.0,0.0,13.0
closure_source_url_count_broad,6323,0.09331013759291476,0.6962805121052267,0.0,0.0,0.0,0.0,8.0
