model_name,sample_description,excluded_event,excluded_graduation_year,outcome,closure_variable,coef,std_error,p_value,n_obs,n_schools,r_squared,adjusted_r_squared,mean_outcome,mean_closure_var,sd_closure_var,closure_rows,total_closure_days
baseline_full_sample,"Full sample, broad closure days",,,eligibility_rate,closure_days_hurricane_related_broad,-0.001029334285293144,0.0005876065032926701,0.07981838809975807,6323,311,0.8023834420623326,0.7912561605209802,0.6291230195191617,0.17871263640676893,1.5870827996212369,185,1130.0
zero_out_2005_katrina_rita,"Full sample, closure days from 2005_katrina_rita set to zero",2005_katrina_rita,2006.0,eligibility_rate,closure_days_leaveout_2005_katrina_rita,-9.977961775911072e-05,0.0005412306247612653,0.8537334535530435,6323,311,0.8022606404241401,0.7911264442374961,0.6291230195191617,0.14929622014866362,1.3545162934220418,167,944.0
drop_treated_rows_2005_katrina_rita,Drop rows whose broad closure event includes 2005_katrina_rita,2005_katrina_rita,2006.0,eligibility_rate,closure_days_hurricane_related_broad,-0.00013119440871645332,0.0005439802684675097,0.8094195325406379,6305,311,0.8022622478577665,0.7910945551358068,0.6293308934216719,0.14972244250594766,1.356425183677332,167,944.0
drop_graduation_year_2006_2005_katrina_rita,Drop all rows from graduation_year 2006,2005_katrina_rita,2006.0,eligibility_rate,closure_days_hurricane_related_broad,-0.00011414448184179655,0.0005422643868666357,0.8332805769187598,6110,311,0.8037537098337408,0.7923317882165811,0.6298044949623559,0.15450081833060555,1.3776357928424787,167,944.0
zero_out_2020_laura_delta_zeta,"Full sample, closure days from 2020_laura_delta_zeta set to zero",2020_laura_delta_zeta,2021.0,eligibility_rate,closure_days_leaveout_2020_laura_delta_zeta,-0.0012529860080000448,0.0006022871572983409,0.037490714790355935,6323,311,0.8024393503532521,0.7913152168643709,0.6291230195191617,0.15514787284516843,1.5635236254344929,129,981.0
drop_treated_rows_2020_laura_delta_zeta,Drop rows whose broad closure event includes 2020_laura_delta_zeta,2020_laura_delta_zeta,2021.0,eligibility_rate,closure_days_hurricane_related_broad,-0.0012565755255822004,0.0006078376437015025,0.03870701520277389,6267,310,0.802554031119775,0.7913665360871012,0.6293993490383432,0.1565342269028243,1.5704256816170377,129,981.0
drop_graduation_year_2021_2020_laura_delta_zeta,Drop all rows from graduation_year 2021,2020_laura_delta_zeta,2021.0,eligibility_rate,closure_days_hurricane_related_broad,-0.0012169335205535032,0.0005983026865053965,0.04195397899870627,6047,310,0.8021801098071741,0.7905762465232314,0.631141541054948,0.16222920456424672,1.598453455254287,129,981.0
zero_out_2021_ida,"Full sample, closure days from 2021_ida set to zero",2021_ida,2022.0,eligibility_rate,closure_days_leaveout_2021_ida,-0.00240994593365288,0.00080354964393212,0.0027075607931280176,6323,311,0.8024782856877459,0.7913563445476909,0.6291230195191617,0.07796931836153724,0.9185908225881686,135,493.0
drop_treated_rows_2021_ida,Drop rows whose broad closure event includes 2021_ida,2021_ida,2022.0,eligibility_rate,closure_days_hurricane_related_broad,-0.0024338785575474765,0.0007939359064062082,0.002172441125926953,6273,311,0.8016854219854315,0.7904247627114788,0.6294096381395207,0.07859078590785908,0.9222185448207277,135,493.0
drop_graduation_year_2022_2021_ida,Drop all rows from graduation_year 2022,2021_ida,2022.0,eligibility_rate,closure_days_hurricane_related_broad,-0.0024244025910726977,0.0007989193247429107,0.002408528861709918,6055,310,0.8031977276271451,0.7916697050279309,0.6307759510395421,0.081420313790256,0.9385531556513211,135,493.0
zero_out_2024_francine,"Full sample, closure days from 2024_francine set to zero",2024_francine,2025.0,eligibility_rate,closure_days_leaveout_2024_francine,-0.0010265113596656433,0.0005921824639991758,0.08301791628967138,6323,311,0.8023808384546914,0.7912534103108704,0.6291230195191617,0.15372449786493753,1.566241649753188,124,972.0
drop_treated_rows_2024_francine,Drop rows whose broad closure event includes 2024_francine,2024_francine,2025.0,eligibility_rate,closure_days_hurricane_related_broad,-0.0010105381508364523,0.0005942752740341668,0.08904544045393323,6262,310,0.8018264653068965,0.7905882699217686,0.6287705454364876,0.15522197381028424,1.5737791282523304,124,972.0
drop_graduation_year_2025_2024_francine,Drop all rows from graduation_year 2025,2024_francine,2025.0,eligibility_rate,closure_days_hurricane_related_broad,-0.0010404279367747023,0.0005982017693874613,0.08198917873773465,6059,309,0.8028347575017971,0.7913300071533695,0.6262967920305975,0.1604225119656709,1.5996692728490536,124,972.0
