nces_school_id,nces_school_name,nces_district_name,nces_parish,graduation_year,closure_days_hurricane_related_broad,closure_max_consecutive_days_broad,closure_source_record_count_broad,closure_source_url_count_broad,closure_event_ids_broad,closure_storm_names_broad,eligibility_rate,recipient_rate,acceptance_rate,exposure_index_pointmax,exposure_index_stormmax
220144001139,Destrehan High School,St. Charles Parish,ST. CHARLES,2022,41,41,11,6,2021_ida,IDA,0.6299212598425197,0.4173228346456692,0.6625,2.227109166644116,2.7573732539403335
220144001141,Hahnville High School,St. Charles Parish,ST. CHARLES,2022,41,41,11,6,2021_ida,IDA,0.653968253968254,0.3555555555555555,0.5436893203883495,2.401581088703829,2.9733861098237884
220084000585,Bonnabel Magnet Academy High School,Jefferson Parish,JEFFERSON,2006,25,25,1,1,2005_katrina_rita,KATRINA,0.4028776978417266,0.302158273381295,0.75,1.1812471100921538,1.6874958715602195
220084000597,East Jefferson High School,Jefferson Parish,JEFFERSON,2006,25,25,1,1,2005_katrina_rita,KATRINA,0.5350877192982456,0.4035087719298245,0.7540983606557377,1.2186841760898937,1.7409773944141338
220084000598,John Ehret High School,Jefferson Parish,JEFFERSON,2006,25,25,1,1,2005_katrina_rita,KATRINA,0.4310344827586206,0.296551724137931,0.688,1.2479783140469676,1.7828261629242397
220084000604,Fisher Middle/High School,Jefferson Parish,JEFFERSON,2006,25,25,1,1,2005_katrina_rita,KATRINA,0.625,0.4791666666666667,0.7666666666666667,1.2510890096201643,1.727003930026746
220084000620,L.W. Higgins High School,Jefferson Parish,JEFFERSON,2006,25,25,1,1,2005_katrina_rita,KATRINA,0.4331210191082802,0.267515923566879,0.6176470588235294,1.2080561454191998,1.7257944934559997
220084000642,Riverdale High School,Jefferson Parish,JEFFERSON,2006,25,25,1,1,2005_katrina_rita,KATRINA,0.5904761904761905,0.4285714285714285,0.7258064516129032,1.225030855538606,1.7500440793408656
220084000654,West Jefferson High School,Jefferson Parish,JEFFERSON,2006,25,25,1,1,2005_katrina_rita,KATRINA,0.330188679245283,0.25,0.7571428571428571,1.291550282407096,1.8450718320101371
220084000585,Bonnabel Magnet Academy High School,Jefferson Parish,JEFFERSON,2022,15,15,6,6,2021_ida,IDA,0.4838709677419355,0.1612903225806451,0.3333333333333333,1.6672576560852252,2.0642237646769455
220084000597,East Jefferson High School,Jefferson Parish,JEFFERSON,2022,15,15,6,6,2021_ida,IDA,0.4930555555555556,0.1319444444444444,0.2676056338028169,1.5849343483224414,1.962299669351594
220084000598,John Ehret High School,Jefferson Parish,JEFFERSON,2022,15,15,6,6,2021_ida,IDA,0.5601503759398496,0.2593984962406015,0.4630872483221476,1.4171739703643265,1.7545963442605943
220084000604,Fisher Middle/High School,Jefferson Parish,JEFFERSON,2022,15,15,6,6,2021_ida,IDA,0.6046511627906976,0.3720930232558139,0.6153846153846154,1.4401446570810836,1.7830362421003894
220084000617,Haynes Academy School for Advanced Studies,Jefferson Parish,JEFFERSON,2022,15,15,6,6,2021_ida,IDA,0.975,0.6583333333333333,0.6752136752136753,1.529363927909117,1.8934981964589064
220084000620,L.W. Higgins High School,Jefferson Parish,JEFFERSON,2022,15,15,6,6,2021_ida,IDA,0.4013605442176871,0.1632653061224489,0.4067796610169492,1.4902649445564329,1.8450899313555835
220084000642,Riverdale High School,Jefferson Parish,JEFFERSON,2022,15,15,6,6,2021_ida,IDA,0.5497076023391813,0.3684210526315789,0.6702127659574468,1.559990081005694,1.9314162907689545
220084000653,Kenner Discovery Health Sciences Academy,Jefferson Parish,JEFFERSON,2022,15,15,6,6,2021_ida,IDA,0.5206611570247934,0.2975206611570248,0.5714285714285714,1.6879846142200807,2.0898857128439094
220084000654,West Jefferson High School,Jefferson Parish,JEFFERSON,2022,15,15,6,6,2021_ida,IDA,0.3414634146341463,0.0682926829268292,0.2,1.3866654486027163,1.7168238887462202
220084001667,Patrick F. Taylor Science & Technology Academy,Jefferson Parish,JEFFERSON,2022,15,15,6,6,2021_ida,IDA,1.0,0.7666666666666667,0.7666666666666667,1.5995703866073394,1.980420478656706
220084001964,Thomas Jefferson High School for Advanced Studies,Jefferson Parish,JEFFERSON,2022,15,15,6,6,2021_ida,IDA,0.9736842105263158,0.7763157894736842,0.7972972972972973,1.3467301360513768,1.667380168444562
220084002419,Jefferson RISE Charter School,Jefferson Parish,JEFFERSON,2022,15,15,6,6,2021_ida,IDA,0.4375,0.1875,0.4285714285714285,1.3976072658038337,1.730370900519032
220084002506,Jefferson Virtual High School,Jefferson Parish,JEFFERSON,2022,15,15,6,6,2021_ida,IDA,0.5555555555555556,0.1851851851851851,0.3333333333333333,1.5751314723208882,1.950162775254433
220102000768,Maurepas School,Livingston Parish,LIVINGSTON,2022,13,13,13,8,2021_ida,IDA,0.8181818181818182,0.5454545454545454,0.6666666666666666,1.508472092303676,2.1290607953093965
220102000755,Albany High School,Livingston Parish,LIVINGSTON,2022,13,13,12,8,2021_ida,IDA,0.5979381443298969,0.2371134020618556,0.396551724137931,1.3473654421347774,2.6947308842695548
220102000758,Denham Springs High School,Livingston Parish,LIVINGSTON,2022,13,13,12,8,2021_ida,IDA,0.745049504950495,0.4554455445544554,0.6112956810631229,1.4841416764469455,2.968283352893891
220102000761,Doyle High School,Livingston Parish,LIVINGSTON,2022,13,13,12,8,2021_ida,IDA,0.6301369863013698,0.4657534246575342,0.7391304347826086,1.74606483120042,3.49212966240084
