statistic,value
school_year_observations,6323.0
unique_nces_schools,311.0
first_graduation_year,1999.0
last_graduation_year,2025.0
total_students_processed,655153.0
mean_students_per_school_year,103.61426538035742
median_students_per_school_year,75.0
mean_eligibility_rate,0.6291230195191617
mean_recipient_rate,0.4188011403793499
mean_acceptance_rate,0.6407615578578002
mean_pointmax_exposure,0.35446177732789064
mean_stormmax_exposure,0.5815328671149663
share_within_50km_hurricane,0.03273762454531077
share_within_100km_hurricane,0.10153408192313775
share_within_50km_major_hurricane,0.008540249881385418
