nces_school_id,event_id,event_label,affected_graduation_year,pre_graduation_years,n_pre_years_available,pre_years_available,pre_enrollment,pre_grade12_enrollment,pre_frl_share,pre_black_share,pre_hispanic_share,pre_teacher_fte,pre_student_teacher_ratio,pre_locale
220000900263,2005_katrina_rita,2005 Katrina/Rita,2006,"2002,2003,2004,2005",3,"2002,2003,2004",7.0,,,0.9285714285714286,0.0,0.5,14.0,7
220000901003,2005_katrina_rita,2005 Katrina/Rita,2006,"2002,2003,2004,2005",3,"2002,2003,2004",9.5,,,0.9473684210526315,0.0,1.5,19.0,7
220000901779,2005_katrina_rita,2005 Katrina/Rita,2006,"2002,2003,2004,2005",4,"2002,2003,2004,2005",350.5,0.0,0.0,0.7618287710159872,0.0019343221518869852,38.15,9.122423457087754,4
220000901780,2005_katrina_rita,2005 Katrina/Rita,2006,"2002,2003,2004,2005",4,"2002,2003,2004,2005",100.0,0.0,0.0,0.7437923850397745,0.0037313432835820895,10.5,10.48546918767507,3
220000901781,2005_katrina_rita,2005 Katrina/Rita,2006,"2002,2003,2004,2005",4,"2002,2003,2004,2005",209.0,0.0,0.0,0.7801293019222291,0.008313820661123213,32.25,6.347986341773476,2
220000901910,2005_katrina_rita,2005 Katrina/Rita,2006,"2002,2003,2004,2005",3,"2002,2003,2004",2.0,,,1.0,0.0,0.5,4.0,4
220000901911,2005_katrina_rita,2005 Katrina/Rita,2006,"2002,2003,2004,2005",3,"2002,2003,2004",10.5,,,0.8571428571428571,0.0,0.5,21.0,7
220001701975,2005_katrina_rita,2005 Katrina/Rita,2006,"2002,2003,2004,2005",4,"2002,2003,2004,2005",368.5,169.75,0.0,0.08460490043899985,0.02574256146341346,45.65,8.080603648636547,6
220001800193,2005_katrina_rita,2005 Katrina/Rita,2006,"2002,2003,2004,2005",0,,,,,,,,,
220001801789,2005_katrina_rita,2005 Katrina/Rita,2006,"2002,2003,2004,2005",4,"2002,2003,2004,2005",218.75,18.0,0.8115642194039046,0.5485847416874758,0.022862579977327283,78.825,2.7895953252335137,2
220001900193,2005_katrina_rita,2005 Katrina/Rita,2006,"2002,2003,2004,2005",4,"2002,2003,2004,2005",47.75,6.5,0.0,0.5579789119262804,0.0,17.3,2.7634708922328626,2
220002000267,2005_katrina_rita,2005 Katrina/Rita,2006,"2002,2003,2004,2005",4,"2002,2003,2004,2005",47.5,23.0,0.0,0.25676136363636365,0.0,13.049999999999999,3.6703123040260883,8
